num,titulo_empleo,descripcion_empleo,etiquetas_empleo
482,"
Verificador - Recaudador para La Troncal. - with Growth Opportunities
","We are looking to hire a focused Verificador - Recaudador para La Troncal. to join our diverse team at Créditos Económicos in La Troncal, La Troncal (canton).Growing your career as a Full Time Verificador - Recaudador para La Troncal. is a fantastic opportunity to develop productive skills.If you are strong in critical thinking, project management and have the right personality for the job, then apply for the position of Verificador - Recaudador para La Troncal. at Créditos Económicos today!Somos la empresa con mayor crecimiento en la industria retail de electrodomésticos y estamos siempre a la vanguardia en innovación y nuevos desafíos. Es por eso que buscamos talentos como tú; personas apasionadas y comprometidas en busca de la excelencia, para crecer juntos y mejorar la vida de nuestros clientes. En CrecosCorp empoderamos a nuestros colaboradores para que se desafíen constantemente, ofreciendo oportunidades de desarrollo y crecimiento profesional. CrecosCorp es el lugar ideal para demostrar tu talento. ¡Queremos conocerte! - Efectuar la verificación terrena a los clientes, comprobando la información ingresada en la solicitud de crédito, con el fin de obtener y registrar los datos reales del cliente.  - Registrar en el sistema diariamente el resultado de las verificaciones realizadas.  - Participar en las visitas para revisión de apertura de nuevas zonas.  - Realizar diariamente la gestión de cobranza terrena a los clientes que se le asignan en su cartera.  - Verificar que los artìculos retirados esten en buenas condiciones tanto físicas como funcionales al momento del retiro.  - Participar en operativos de cobranza terrena. Requisitos:  Educación: Bachillerato completo. Experiencia previa: Mínimo 1 año como Verificador de Crédito, Recaudador / Gestor de Matriculación. Requisitos indispensables: Contar con moto propia y licencia tipo A - B. Beneficios Se comentará durante la entrevista. Benefits of working as a Verificador - Recaudador para La Troncal. in La Troncal, La Troncal (canton):● Company offers great benefits ● Advancement opportunities● Competitive salary",Créditos Económicos
483,"
Cotizador Técnico - Immediate Start
","We are hiring a capable Cotizador Técnico to join our productive team at INDUCOM S.A. in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Cotizador Técnico is an incredible opportunity to develop productive skills.If you are strong in problem-solving, creativity and have the right personality for the job, then apply for the position of Cotizador Técnico at INDUCOM S.A. today!Lugar: Guayaquil Funciones:  Atender los requerimientos de Div Linea de Aire y colección Polvo.  Realizar cotizaciones de los productos de soplado, vacío y colección de polvo  Controlar los inventario de estos productos.  Realizar entrenamiento de personal  Desarrollar proyectos a nivel nacional  Realizar seguimiento a cotizaciones enviadas.
Estudios: Ing. Mecánico/Eléctrico/Mecatrónico o afines Experiencia: Sin experiencia previa Competencias duras: Conocimiento en mantenimiento en equipos industriales. Autocad Competencias blandas: Planificación y organización. Trabajo en equipo Liderazgo Iniciativa
Benefits of working as a Cotizador Técnico in Guayaquil, Guayaquil (canton):● Company offers great benefits ● Opportunities to grow● Advantageous package",Inducom S.A.
484,"
Ejecutivo Comercial Home office. - Hiring Urgently
","We are searching for a resourceful Ejecutivo Comercial Home office. to join our awesome team at F&E ECUATORIANA S.A. in Quito, Quito (canton).Growing your career as a Full Time Ejecutivo Comercial Home office. is an incredible opportunity to develop relevant skills.If you are strong in persuasion, leadership and have the right experience for the job, then apply for the position of Ejecutivo Comercial Home office. at F&E ECUATORIANA S.A. today!Nuestra empresa requiere contratar, profesionales y semiprofesionales para desarrollar proyecto a nivel nacional, en modalidad Home Office. Requisitos: - Predisposición para trabajar en equipo y aprender. - Objetivos de crecimiento laboral y personal. - Buen manejo de relaciones personales. Beneficios para los postulantes seleccionados: - Capacitación y guía constante de acuerdo al cargo. (A nivel nacional e internacional)- Buen ambiente de trabajo. - Estabilidad laboral. - Capacitación en idioma extranjero. - Proyección profesional. - Traslados dentro y fuera del país. Los postulantes seleccionados deben contar con las siguientes herramientas de trabajo: - Computador de uso personal en optimas condiciones. - Conexión fija y estable a internet. - Dispositivo móvil 100% operativo. - Disponer de espacio exclusivo para Home Office. Benefits of working as a Ejecutivo Comercial Home office. in Quito, Quito (canton):● Excellent benefits● Company offers career progression opportunities● Attractive package",Fe Ecuatoriana S.A.
485,"
Jefe Nacional de Ventas - Start Immediately
","We are looking to hire a focused Jefe Nacional de Ventas to join our diverse team at Human Consulting Strategies in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Jefe Nacional de Ventas is a great opportunity to develop useful skills.If you are strong in decision-making, cooperation and have the right initiative for the job, then apply for the position of Jefe Nacional de Ventas at Human Consulting Strategies today!  Importante empresa de comercialización del país se encuentra en la búsqueda de un Jefe Nacional de Ventas  REQUISITOS:   Experiencia en empresas de ámbito comercial.   Comprobada experiencia en manejo de fuerza de ventas    Experiencia en diseño de territorio y gestión de rutas de venta.   Dominio en herramientas para optimizar la fuerza de ventas.   Experiencia en establecer criterios parámetros para remuneración variable.   Sólidos conocimientos en implementación de programas de capacitación y desarrollo para la fuerza de ventas.   Experiencia en manejo de cuentas claves.    FUNCIONES:   Liderar la estrategia comercial de la compañía y sus diferentes canales.   Dirigir y supervisar a la fuerza de ventas a nivel nacional.   Establecer estrategias de cobertura de los territorios a nivel nacional.   Diseñar y ejecutar iniciativas de fidelización.   Manejo de presupuestos, control y cumplimiento de los mismos.  Benefits of working as a Jefe Nacional de Ventas in Guayaquil, Guayaquil (canton):● Excellent benefits● Company offers career progression opportunities● Attractive package",Human Consulting Strategies
486,"
Oficial de Seguridad de La Información. - Urgent
","We are looking for a brilliant Oficial de Seguridad de La Información. to join our productive team at Confidencial in Quito, Quito (canton).Growing your career as a Full Time Oficial de Seguridad de La Información. is a terrific opportunity to develop useful skills.If you are strong in critical thinking, decision-making and have the right initiative for the job, then apply for the position of Oficial de Seguridad de La Información. at Confidencial today!Importante Institución Financiera requiere incorporar un profesional para el cargo de Oficial de Seguridad de la información que cumpla con los siguientes requisitos: Cargo: Oficial de Seguridad de la Información Instrucción formal: Tercer Nivel (Tecnologías de la información y la comunicación (TIC)) Experiencia: Diseño, planificación e implementación del sistema de gestión de seguridad de la información, Gestión de seguridad de redes y comunicaciones, Implementación de marcos de referencia internacionales (ITIL; COBIT; ISO), Desarrollo de metodologías de gestión de riesgos, Gerencia o asesoría de proyectos de seguridad informática. Tiempo de experiencia: 6 años Benefits of working as a Oficial de Seguridad de La Información. in Quito, Quito (canton):● Excellent benefits● Company offers career progression opportunities● Competitive salary",Confidencial
487,"
Pasante de Publicidad - Start Immediately
","We are searching for an ambitious Pasante de Publicidad to join our productive team at Liberty Bridge Investments in Quito, Quito (canton).Growing your career as a Full Time Pasante de Publicidad is a terrific opportunity to develop exceptional skills.If you are strong in presentation, problem-solving and have the right personality for the job, then apply for the position of Pasante de Publicidad at Liberty Bridge Investments today!Buscamos un pasante de publicidad entusiasta para que se incorpore a nuestro departamento de marketing y proporcione ideas creativas que contribuyan a lograr nuestros objetivos. Te encargaras de tareas administrativas relacionadas con el desarrollo, redacción de contenido y la puesta en marcha de estrategias de publicidad y en todas las fases de las campañas de marketing.   REQUISITOS: Estudiante en últimos años de Publicidad Edad de 23 a 28 años Creador de Contenido Manejo de Adobe Ilustrador, Photoshop Manejo de Redes Sociales   BENEFICIOS: Estipendio mensual acorde a lo establecido en la ley para pasantías Afiliación al IESS Buen clima laboral Crecimiento profesionalBenefits of working as a Pasante de Publicidad in Quito, Quito (canton):● Learning opportunities● Company offers career progression opportunities● Competitive salary",Liberty Bridge Investments
488,"
Agente de ventas Desarrollo Profesional / Salud. - Urgent Hire
","We are on the lookout for a driven Agente de ventas Desarrollo Profesional / Salud. to join our incredible team at Silvia de Chiquito in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Agente de ventas Desarrollo Profesional / Salud. is an incredible opportunity to develop productive skills.If you are strong in teamwork, cooperation and have the right initiative for the job, then apply for the position of Agente de ventas Desarrollo Profesional / Salud. at Silvia de Chiquito today!EMPIEZA EL AÑO NUEVO CON TRABAJO SEGURO, VEN UNETE A NUESTRO EQUIPO DE PROFESIONALES, SI ERES PROACTIVO, TIENES BUENA PRESENCIA, ESTAS CURSANDO LA UNIVERSIDAD, TIENES EXPERIENCIA EN VENTAS, ESTA ES TU OPORTUNIDAD. TE ESPERAMOS!!!!!Benefits of working as a Agente de ventas Desarrollo Profesional / Salud. in Guayaquil, Guayaquil (canton):● Excellent benefits● Company offers career progression opportunities● Attractive package",Silvia De Chiquito
489,"
Empresa dedicad a la Salud solicita - Urgent Position
","We are searching for an energetic Empresa dedicad a la Salud solicita to join our exceptional team at CR-GROUP in Ventanas, Ventanas (canton).Growing your career as a Full Time Empresa dedicad a la Salud solicita is an incredible opportunity to develop relevant skills.If you are strong in leadership, planning and have the right personality for the job, then apply for the position of Empresa dedicad a la Salud solicita at CR-GROUP today!Empresa dedicada al Area de la Salud, quiere incorporar a su equipo a los mejores Asesores Comerciales y Gestores en Visita Médica para las ciudades de Jujan, Babahoyo, Ventanas y Vinces con el siguiente perfil: REQUISITOS: * Hombres y Mujeres de 20 a 45 años de edad. * Experiencia mínima un año en área comercial. (No indispensable)* Bachilleres, Estudiantes Universitarios, Egresados, Titulados en áreas relacionadas. * Facilidad de palabra y orientación a resultados. * Buena presencia. * Disponibilidad de viaje. * Movilización(No imprescindible)BENEFICIOS: * Posibilidad de generar ingresos acordé a sus expectativas. * Oportunidad de crecimiento corporativo. * Formación continúa en negociación y ventas. * Ingresos residuales extras por desarrollo del equipo. * Pagos semanales, quincenales y mensuales Interesados comunicarse al correo en mencion del anuncio con atencion a la Ing. Gabriela Reyes de Talento Humano(Whapp Ver el número de teléfono en ec.trabajosdiarios.com)Salario: $750,00Benefits of working as a Empresa dedicad a la Salud solicita in Ventanas, Ventanas (canton):● Company offers great benefits ● Advancement opportunities● Advantageous package",Cr-Group
490,"
Blindador MIG Para blindaje de vehículos - Get Hired Fast
","We are looking for a focused Blindador MIG Para blindaje de vehículos to join our vibrant team at Grupo Camaronero Vieracruz in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Blindador MIG Para blindaje de vehículos is a terrific opportunity to develop useful skills.If you are strong in cooperation, communication and have the right personality for the job, then apply for the position of Blindador MIG Para blindaje de vehículos at Grupo Camaronero Vieracruz today!IMPORTANTE EMPRESA DE BLINDAJE AUTOMOTRIZ SOLICITA BLINDADORES
SOLICITAMOS BLINDADORES SEPAN USAR SOLDADURA MIG PARA EL SOLDADO DE PLACAS BALISTICAS EN VEHICULOS, INDISPENSABLE MANEJO DE HERRAMIENTA MANUAL , ELECTRICA. CONOCMIENTOS
Armado de autos, plantas de automotriz, conocimiento de blindaje y de materiales ultralivianos aprobados por las normas de balística internacionales y desarrollados para la industria automotriz y aeronáutica, Tejido Kevlar ultraliviano desarrollado para blindaje automotor y aeronáutico. Perfil Ing Mecánica, Mecatrónica, Tecnólogos, Bachilleres Industriales etc, Experiencia 2 años en cargos similares. Interesados que cumplan el perfil aplicar al fjvera_vieracruz.com se advierte que solo se consideraran las personas que se ajusten estrictamente al perfil solicitado.
Bolsa de trabajo Ecuador ofrecemos puesto de Blindador MIG para el sector de Mantenimiento y Reparaciones Técnicas en la empresa Grupo Camaronero Vieracruz de Guayaquil. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Tiempo Completo.
Benefits of working as a Blindador MIG Para blindaje de vehículos in Guayaquil, Guayaquil (canton):● Company offers great benefits ● Company offers career progression opportunities● Advantageous package",Grupo Camaronero Vieracruz
491,"
Verificador - Recaudador para El Carmen. - Urgent Hiring
","We are searching for a remarkable Verificador - Recaudador para El Carmen. to join our all-star team at Créditos Económicos in El Carmen, El Carmen (canton).Growing your career as a Full Time Verificador - Recaudador para El Carmen. is an incredible opportunity to develop productive skills.If you are strong in persuasion, project management and have the right experience for the job, then apply for the position of Verificador - Recaudador para El Carmen. at Créditos Económicos today!Somos la empresa con mayor crecimiento en la industria retail de electrodomésticos y estamos siempre a la vanguardia en innovación y nuevos desafíos. Es por eso que buscamos talentos como tú; personas apasionadas y comprometidas en busca de la excelencia, para crecer juntos y mejorar la vida de nuestros clientes. En CrecosCorp empoderamos a nuestros colaboradores para que se desafíen constantemente, ofreciendo oportunidades de desarrollo y crecimiento profesional. CrecosCorp es el lugar ideal para demostrar tu talento. ¡Queremos conocerte! - Efectuar la verificación terrena a los clientes, comprobando la información ingresada en la solicitud de crédito, con el fin de obtener y registrar los datos reales del cliente.  - Registrar en el sistema diariamente el resultado de las verificaciones realizadas.  - Participar en las visitas para revisión de apertura de nuevas zonas.  - Realizar diariamente la gestión de cobranza terrena a los clientes que se le asignan en su cartera.  - Verificar que los artìculos retirados esten en buenas condiciones tanto físicas como funcionales al momento del retiro.  - Participar en operativos de cobranza terrena. Requisitos:  Educación: Bachillerato completo. Experiencia previa: Mínimo 1 año como Verificador de Crédito, Recaudador / Gestor de Matriculación. Requisitos indispensables: Contar con moto propia y licencia tipo A - B. Beneficios Se comentará durante la entrevista. Benefits of working as a Verificador - Recaudador para El Carmen. in El Carmen, El Carmen (canton):● Learning opportunities● Company offers career progression opportunities● Attractive package",Créditos Económicos
492,"
DITEXART - ASISTENTE DE DISEÑO - Urgent Hiring
","We are looking for a competitive DITEXART - ASISTENTE DE DISEÑO to join our awesome team at Performia Ecuador in Pichincha.Growing your career as a Full Time DITEXART - ASISTENTE DE DISEÑO is a fantastic opportunity to develop productive skills.If you are strong in decision-making, communication and have the right personality for the job, then apply for the position of DITEXART - ASISTENTE DE DISEÑO at Performia Ecuador today!Importante empresa de modas requiere contratar a su staff:
Asistente de diseño
Para esto debes entregar resultados constantes:
Ejecutivo con tiempo liberado para dispersión y nuevos negocios.Diseños confeccionados a tiempo, completo y sin errores.Trabajo operativo realizado.
Y tendrás a cambio los siguientes beneficios:
Sueldo básico más beneficios de leyBonos de cumplimientoTeléfono y computador de la empresa.
Es indispensable que tengas:
Experiencia en patronaje o confección sobre medida.Cursar o estar graduado de diseño de modas.Diseñador gráfico con experiencia en área textil orientado al desarrollo de colecciones de moda
Benefits of working as a DITEXART - ASISTENTE DE DISEÑO in Pichincha:● Learning opportunities● Company offers career progression opportunities● Competitive salary",Performia Ecuador
493,"
Ingeniero de Investigación, Desarrollo e Innovación - Start Now
","We are on the lookout for an expert Ingeniero de Investigación, Desarrollo e Innovación to join our all-star team at Quala Internacional in Quito, Quito (canton).Growing your career as a Full Time Ingeniero de Investigación, Desarrollo e Innovación is an amazing opportunity to develop productive skills.If you are strong in communication, cooperation and have the right experience for the job, then apply for the position of Ingeniero de Investigación, Desarrollo e Innovación at Quala Internacional today! En Quala Ecuador, Buscamos a los Mejores! INGENIERO DE INVESTIGACION, DESARROLLO E INNOVACIÓN - QUITO  Si quieres ser parte de una de las compañías más innovadoras de consumo masivo en Latino América donde te apasionaras con tu trabajo, y vivirás un ambiente positivo .  Esta Oportunidad es para TI!  Como INGENIERO DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN tendrás el reto de desarrollar e industrializar con solidez técnica, con conocimiento profundo del consumidor, y con excelencia, productos que sorprendan gratamente al consumidor, confiables, potencien los conceptos, se mantengan vigentes y rentables en el tiempo.  Liderar equipos multidisciplinarios competentes, coordinando actividades e interacciones que aseguren el logro de los resultados, enmarcado en el dominio del modelo de innovación.  REQUISITOS  Si te apasiona la Investigación y tienes título de tercer nivel en Ingeniería en Alimentos o Ingeniería Química y cuentas con 6 meses o 1 año de experiencia en consumo masivo de bebidas o alimentos.  POSTÚLATE!Benefits of working as a Ingeniero de Investigación, Desarrollo e Innovación in Quito, Quito (canton):● Excellent benefits● Advancement opportunities● Attractive package",Quala Internacional
494,"
Blindador MIG Para blindaje de vehículos. - Hiring Urgently
","We are looking to hire an expert Blindador MIG Para blindaje de vehículos. to join our dynamic team at Grupo Camaronero Vieracruz in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Blindador MIG Para blindaje de vehículos. is an incredible opportunity to develop exceptional skills.If you are strong in persuasion, problem-solving and have the right personality for the job, then apply for the position of Blindador MIG Para blindaje de vehículos. at Grupo Camaronero Vieracruz today!IMPORTANTE EMPRESA DE BLINDAJE AUTOMOTRIZ SOLICITA BLINDADORES: SOLICITAMOS BLINDADORES SEPAN USAR SOLDADURA MIG PARA EL SOLDADO DE PLACAS BALISTICAS EN VEHICULOS, INDISPENSABLE MANEJO DE HERRAMIENTA MANUAL , ELECTRICA. CONOCMIENTOS: Armado de autos, plantas de automotriz, conocimiento de blindaje y de materiales ultralivianos aprobados por las normas de balística internacionales y desarrollados para la industria automotriz y aeronáutica, Tejido Kevlar® ultraliviano desarrollado para blindaje automotor y aeronáutico. Perfil Ing Mecánica, Mecatrónica, Tecnólogos, Bachilleres Industriales etc, Experiencia 2 años en cargos similares. Interesados que cumplan el perfil aplicar al: fjvera_vieracruz.com se advierte que solo se consideraran las personas que se ajusten estrictamente al perfil solicitado. Benefits of working as a Blindador MIG Para blindaje de vehículos. in Guayaquil, Guayaquil (canton):● Company offers great benefits ● Advancement opportunities● Attractive package",Grupo Camaronero Vieracruz
495,"
Analista de Reclutamiento y Seleccion en El Área Automotriz. - Urgent Hire
","We are looking to hire an enthusiastic Analista de Reclutamiento y Seleccion en El Área Automotriz. to join our awesome team at Confidencial in Quito, Quito (canton).Growing your career as a Full Time Analista de Reclutamiento y Seleccion en El Área Automotriz. is a terrific opportunity to develop exceptional skills.If you are strong in teamwork, creativity and have the right mindset for the job, then apply for the position of Analista de Reclutamiento y Seleccion en El Área Automotriz. at Confidencial today!Nos encontramos en la búsqueda de: ANALISTA DE RECLUTAMIENTO Y SELECCIÓN responsable de los procesos de reclutamiento y selección de personal, con conocimientos en el sector comercial automotriz (deseable). Educación: Graduado en Psicología Industrial, Ing. Recursos Humanos o afines. La persona debe tener orientación al logro, pensamiento analítico, cumplimiento de objetivos, comunicación asertiva y productividad, organización, trabajo en equipo, trabajo bajo presión y resolución de conflictos. FUNCIONES: - Realizar el proceso de selección para la organización. - Levantar referencias laborales. - Levantamiento de perfiles de cargo. - Entrevistas por competencias. - Evaluaciones psicométricas. - Presentación de informes de selección a la Gerencia General. - Dar soporte en el desarrollo organizacional. - Realizar el proceso de Inducción a los nuevos colaboradores. - Elaboración de Contratos de Trabajos y proceso de ingreso al SUT ? IESS (deseable). Sueldo: - 500-600 Beneficios: - Chip Corporativo - Uniforme - Los de ley Conocimientos: - Manejo de paquete OFFICE. - Conocimiento de Test Psicométricos. Localidad: QUITO - PRESENCIAL. Disponibilidad de incorporación inmediata. Benefits of working as a Analista de Reclutamiento y Seleccion en El Área Automotriz. in Quito, Quito (canton):● Learning opportunities● Company offers career progression opportunities● Competitive salary",Confidencial
496,"
Importante Empresa de Ropa Deportiva. - Urgent Role
","We are on the lookout for a creative Importante Empresa de Ropa Deportiva. to join our all-star team at ANARKIA in Ambato, Ambato (canton).Growing your career as a Full Time Importante Empresa de Ropa Deportiva. is a great opportunity to develop relevant skills.If you are strong in planning, communication and have the right drive for the job, then apply for the position of Importante Empresa de Ropa Deportiva. at ANARKIA today!IMPORTANTE EMPRESA DE ROPA DEPORTIVA Busca persona graduada en la carrera de Diseño de Modas, que le apasione la moda y las tendencias actuales Funciones · Realizar el patronaje de ropa deportiva. · Desarrollar colecciones por temporadas. · Manejar Optitex e Illustrador · Elaborar fichas técnicas de productos · Análisis de tendencias de la moda y combinaciones. · Creación de colecciones con Innovación, estilo y creatividad. · Planificación de producciones de acuerdo al cronograma · Desarrollo de muestras de producción Enviar hoja de vida y portafolio ank.contratacion 2 0 2 2 Benefits of working as a Importante Empresa de Ropa Deportiva. in Ambato, Ambato (canton):● Company offers great benefits ● Advancement opportunities● Advantageous package",Anarkia
497,"
Auxiliar de Talento Humano - Psicologo Laboral. - Start Now
","We are on the lookout for an experienced Auxiliar de Talento Humano - Psicologo Laboral. to join our amazing team at Confidencial in Camilo Ponce Enriquez, Pucará.Growing your career as a Full Time Auxiliar de Talento Humano - Psicologo Laboral. is a great opportunity to develop excellent skills.If you are strong in teamwork, communication and have the right mindset for the job, then apply for the position of Auxiliar de Talento Humano - Psicologo Laboral. at Confidencial today!Importante empresa requiere contratar UN AUXILIAR DE TALENTO HUMANO - PSICÓLOGO (A) ORGANIZACIONAL en el Cantón Camilo Ponce Enríquez Prov. Del AZUAY. PERFIL REQUERIDO: - Título de tercer nivel en Psicología Industrial u organizacional. - Experiencia mínima de 1 años en empresas industriales. - Tener una especificidad en el cargo de 1 año manejando nomina demás de 100 trabajadores. RESPONSABILIDADES: · Conocimiento en los subsistemas de talento humano. · Manejo de Plataforma del IESS y del Ministerio de Trabajo SUT. · Proceso de Reclutamiento, selección y contratación de personal. HABILIDADES, DESTREZAS Y COMPETENCIAS: - Proactividad - Dinamismo - Trabajo bajo presión - Orientación al Logro. - Desarrollo de personal. CONOCIMIENTOS: - Normativa legal vigente. - Manejo del portal IESS. - Manejo del SUT. - Manejo del paquete Office (Word, Excel) BENEFICIOS: - La empresa ofrece atractivo paquete salarial y estabilidad laboral - Todos los beneficios de ley. - Hospedaje y alimentación. - Capacitación constante. SE TOMARÁ EN CUENTA SOLO PERSONAS QUE CUMPLAN CON EL PERFIL. Benefits of working as a Auxiliar de Talento Humano - Psicologo Laboral. in Camilo Ponce Enriquez, Pucará:● Learning opportunities● Company offers career progression opportunities● Competitive salary",Confidencial
498,"
INGENIERO SOLUCIONES TI - Immediate Start
","We are looking for a brilliant INGENIERO SOLUCIONES TI to join our diverse team at Banco Pichincha in Quito, Quito (canton).Growing your career as a Full Time INGENIERO SOLUCIONES TI is an awesome opportunity to develop exceptional skills.If you are strong in decision-making, people management and have the right initiative for the job, then apply for the position of INGENIERO SOLUCIONES TI at Banco Pichincha today!Construir los sistemas aplicaciones y cumpliendo de los criterios de aceptación a fin de contribuir con el cumplimiento de los requerimientos funcionales y no funcionales, y tiempo de entrega de las soluciones, de acuerdo a políticas, procedimientos y lineamientos del CDO
EDUCACIÓN Título profesional Ingeniería de sistemas o ciencias de la computación EXPERIENCIA • Mínimo de 3 años de experiencia en desarrollo Java • Mínimo 2 años de experiencia en desarrollos móviles • En el uso de dockers y kubernetes CONOCIMIENTO •Programación, integración continua y desarrollo basado en pruebas • Lenguajes de programación java • Metodología Agiles . Herramientas de automatización de pruebas • Herramientas de integración y despliegue continuo
Benefits of working as a INGENIERO SOLUCIONES TI in Quito, Quito (canton):● Learning opportunities● Opportunities to grow● Attractive package",Banco Pichincha
499,"
Maquinista de Gabarras. - Urgent Role
","We are searching for a creative Maquinista de Gabarras. to join our high calibre team at NIRSA in Posorja, Guayaquil (canton).Growing your career as a Full Time Maquinista de Gabarras. is an amazing opportunity to develop relevant skills.If you are strong in project management, creativity and have the right drive for the job, then apply for the position of Maquinista de Gabarras. at NIRSA today!Nos encontramos en la búsqueda de un maquinista de gabarras para que forme parte de nuestro equipo de trabajo. Requisitos principales: Estudios secundarios, con formación adicional en operación de máquinas. (INDISPENSABLE CONTAR CON LA MATRÍCULA DE MÁQUINA) Conocimientos: Mantenimiento preventivo y correctivo de la maquina. Motores cummins, caterpillar, Detroit Diesel. Controles periodicos de cambio de aceites y filtros En mecánica, hidráulica, eléctricos, electrónicos. Beneficios: Todos los de Ley y otros complementarios Alimentación, Capacitación y Desarrollo. Lugar de Trabajo: Planta Industrial Posorja, disponibilidad de residir en la localidad. Benefits of working as a Maquinista de Gabarras. in Posorja, Guayaquil (canton):● Company offers great benefits ● Opportunities to grow● Competitive salary",Nirsa
500,"
Community Manager - Get Hired Fast
","We are looking for a remarkable Community Manager to join our awesome team at Corporación Lanec in Durán, Durán (cantone).Growing your career as a Full Time Community Manager is a terrific opportunity to develop excellent skills.If you are strong in critical thinking, planning and have the right initiative for the job, then apply for the position of Community Manager at Corporación Lanec today!Misión del cargo Crear, desarrollar y planificar contenido y campañas atractivas y de calidad para las diferentes redes sociales de Corporación Lanec y sus unidades de negocio, a fin de promover la imagen corporativa y sus marcas, así como crear fidelización en su audiencia y grupos de interés.
Titulado en Comunicación Social, Marketing, Audiovisual o carreras afines. Conocimiento intermedio de paquete de Adobe: Illustrator, Photoshop, InDesign, Premier Pro (indispensable). Conocimientos sobre pautajes de redes sociales: Google Ads, Facebook Ads e Instagram Ads. Conocimientos en edición de fotografías y video. Experiencia mínima 2 años en creación de contenido de cuentas corporativas. Conocimiento de herramientas para analítica y monitorización de redes sociales y página web: Metricool, Creator Studio, Buffer, Hootsuite, etc. Conocimiento en copywriting. Excelente dominio de ortografía y redacción creativa (indispensable). Habilidades de comunicación y trabajo en equipo.
Benefits of working as a Community Manager in Durán, Durán (cantone):● Learning opportunities● Company offers career progression opportunities● Attractive package",Corporación Lanec
501,"
ANALISTA DE SISTEMAS QUITO-GUAYAQUIL - Urgent Role
","We are looking to hire a remarkable ANALISTA DE SISTEMAS QUITO-GUAYAQUIL to join our incredible team at Netlife in Guayas.Growing your career as a Full Time ANALISTA DE SISTEMAS QUITO-GUAYAQUIL is an incredible opportunity to develop relevant skills.If you are strong in communication, planning and have the right initiative for the job, then apply for the position of ANALISTA DE SISTEMAS QUITO-GUAYAQUIL at Netlife today!MISION Levantar, diseñar, documentar, planificar y gestionar los proyectos y requerimientos relacionados a la digitalización y automatización de procesos, así como de necesidades de implementación e integración de sistemas, plataformas y cualquier tipo de software para la operación del negocio; interactuando con las partes interesadas para garantizar el cumplimiento de tiempo, alcance e inversión de los proyecto a su cargo.
EDUCACIÓN: Título de tercer nivel: Ingeniería en Sistemas/computación EXPERIENCIA: 2 años en desarrollo de software CONOCIMIENTOS ADICIONALES: ·Gestión de proyectos: metodologías tradicionales y ágiles (Certificado)
Análisis y optimización de procesos. (Manejo de BPMN)Inglés B1+ (Intermedio)Modelado de Datos y Lenguaje Unificado de Modelamiento (UML)Arquitectura de software y base de datosNormas ISO 9001-27001Seguridad informática CONDICIONES DE TRABAJO: - Disponibilidad a tiempo completo - Disponibilidad de viajar - Flexibilidad de horario
Benefits of working as a ANALISTA DE SISTEMAS QUITO-GUAYAQUIL in Guayas:● Excellent benefits● Opportunities to grow● Advantageous package",Netlife
502,"
Analista de Desarrollo - Urgent
","We are hiring an organized Analista de Desarrollo to join our high calibre team at DEGEREMCIA in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Analista de Desarrollo is a great opportunity to develop exceptional skills.If you are strong in persuasion, creativity and have the right initiative for the job, then apply for the position of Analista de Desarrollo at DEGEREMCIA today!Programar consultas para obtener información de una base de datos de acuerdo a los requerimientos de la organización. Construir programas y rutinas de baja, mediana y alta complejidad que dan solución a requerimientos de la organización, Implementar sistemas utilizando técnicas que permiten sistematizar el proceso de desarrollo y mantenimiento, asegurando el logro de los objetivos de la empresa. Documentar y respaldar los programas de computación de acuerdo con las normas establecidas.
Debe tener sólidos conocimientos de programación orientado objeto. Manejo del al menos 3 lenguajes de programación de los siguientes: -C# -JAVA -PHP -VISUAL BASIC -PYTHON -NODES.JS -REACT -C++ -ANGULAR -C Debe tener sólidos conocimientos de Sql Server y dominio del lenguaje Sql. Debe tener conocimientos básicos de ERP con los que allá trabajado.
Benefits of working as a Analista de Desarrollo in Guayaquil, Guayaquil (canton):● Learning opportunities● Advancement opportunities● Competitive salary",Degeremcia
